method,median_2.5,lowest_2.5,highest_2.5,median_proportion.2.5,median_5,lowest_5,highest_5,median_proportion.5,median_10,lowest_10,highest_10,median_proportion.10,median_15,lowest_15,highest_15,median_proportion.15,median_20,lowest_20,highest_20,median_proportion
ddqc,0.914564146457358,0.865671641791045,0.942879347192539,0.108973763102766,0.885834927945709,0.847745750184775,0.935359009096187,0.173280703302219,0.872786324479379,0.834862385321101,0.904761904761905,0.144875354736344,0.849571386545711,0.820830298616169,0.897173211914248,0.181041079047602,0.828085453889627,0.792435920415845,0.862891207153502,0.198242121459247
DropletQC,0.952174934386343,0.945903872348706,0.960015680125441,0,0.936858488309523,0.919754271453254,0.939111886755866,0,0.906214881869727,0.892147587511826,0.913509376195943,0,0.887861120710204,0.884658876743309,0.897893338394382,0,0.863761937559338,0.853911753800519,0.87336080929187,0
ensembleKQC,0.794424854313663,0.758705592683785,0.824817518248175,0.278016163997212,0.794193976703482,0.727115716753022,0.819836214740673,0.279688448426404,0.796799549875159,0.756543123133673,0.810938065918146,0.280652736961939,0.789071209099102,0.77999288002848,0.794043774668102,0.295557487735251,0.779992936425325,0.757160428747145,0.79372197309417,0.315072015681607
manual_adaptive_mito,0.959055904305502,0.949317738791423,0.975503753457132,0.0121254551903456,0.944203642319146,0.931620629708325,0.953125,0.0232763677118281,0.908943556345265,0.901140684410646,0.919017463058914,0.0410135922334019,0.899516463101428,0.886792452830189,0.914608462569405,0.0603366545587575,0.886259965084889,0.869857890800299,0.892505677517033,0.0754275322339156
manual_fixed_mito,0.919201771183266,0.912777352716144,0.936858415649816,0.0935309859167629,0.912777982564377,0.902225603956629,0.929384526336099,0.110077921145602,0.898981401666084,0.88821752265861,0.908396946564885,0.144024697765325,0.886269092448213,0.872659176029963,0.895734597156398,0.180949947461469,0.86985893683485,0.858736059479554,0.879699248120301,0.213158919885136
manual_library,0.91938607938905,0.909854851031322,0.922337562475971,0.0998804838016202,0.92901299170156,0.916443081640475,0.933488012374323,0.0997758529976908,0.924928100507999,0.91168036704263,0.930501930501931,0.100003325167072,0.906214258482653,0.896094046264695,0.916810427448725,0.10006446936346,0.890181879763639,0.870207593042828,0.903674090995622,0.10006446936346
manual_malat1,0.959439769543622,0.948178453146308,0.973943939992104,0.0120196382658709,0.944393079987069,0.932740626207963,0.952362358453729,0.0233932174430737,0.906942375721467,0.901140684410646,0.921968095329618,0.0402612096886769,0.898614080211416,0.882175795219273,0.916443081640475,0.0579509562248452,0.885903697665861,0.870557426112982,0.8910741301059,0.0721794652496956
manual_malat1_mito_ribo,0.952745466320651,0.946282600233554,0.96078431372549,0.00161758257154088,0.936670880946519,0.919754271453254,0.940993788819876,0.00402698832194293,0.90730504745017,0.890359168241966,0.913875598086124,0.00660391054897425,0.891253107288616,0.883593897155773,0.899335232668566,0.0103134962614146,0.864978090507296,0.849796522382538,0.874414245548266,0.0125051486622512
manual_mito_ribo,0.952745466320651,0.946282600233554,0.96078431372549,0.00173181606480111,0.936670880946519,0.919754271453254,0.940993788819876,0.00402698832194293,0.90730504745017,0.890359168241966,0.913875598086124,0.0067876327609897,0.891253107288616,0.883593897155773,0.900057001710051,0.010557517203105,0.864804604643341,0.849796522382538,0.874414245548266,0.0126193821555113
manual_mito_ribo_library,0.951983938483281,0.945903872348706,0.960399921584003,0,0.936670880946519,0.919754271453254,0.939111886755866,0.000192189188162273,0.9063968071824,0.892147587511826,0.913509376195943,0.000479261168095435,0.888039288042539,0.884658876743309,0.898253606681853,0.000435028232372459,0.863587868550027,0.854255516410161,0.87336080929187,0.00048449364406622
miQC,0.952174934386343,0.945903872348706,0.960015680125441,0,0.936858488309523,0.919754271453254,0.939111886755866,0,0.916443363185483,0.907668828691339,0.927153594141453,0.0854405320739524,0.900779937591119,0.890359168241966,0.919385796545106,0.118921222047647,0.889466647388216,0.871958068139274,0.898614011771407,0.149071455683932
SampleQC,0.913510006767586,0.898614011771407,0.917545541706616,0.0975950294447154,0.895556302926821,0.867762420620097,0.899335232668566,0.122640667241064,0.87546992269631,0.86150409530901,0.89071658158442,0.0623623569200774,0.848782952915508,0.839249586168843,0.867762420620097,0.144514500851996,0.846724335621737,0.829491401390413,0.856665428889714,0.0764585216047113
scater,0.972775695403433,0.965408805031447,0.977848101265823,0.025973722909066,0.957332076309056,0.940993788819876,0.963864886095837,0.0406680312750428,0.914059620621623,0.908032818164472,0.921229586935639,0.0706392486201693,0.891432422879499,0.877229209686503,0.900418091980236,0.09590567565443,0.871087153975786,0.847745750184775,0.87863986473793,0.105132201587425
valiDrops,0.939488266998772,0.934235976789168,0.95388823759281,0.0174666851942492,0.925113974381771,0.907304978065993,0.928268414963363,0.0166941889580668,0.899876525171135,0.882530120481928,0.904036557501904,0.0169884839339782,0.882707349828612,0.875468867216804,0.888930865130336,0.0141883117267586,0.854943488050737,0.843657817109145,0.869857890800299,0.0154376205322044
