tool,consistency_groundtruth,consistency_non_groundtruth,consistency_simulated,median,final_rank
ddqc,0.748760271690834,0.937741895889033,0.477887496381952,0.748760271690834,12
DropletQC,1,0.463716575741351,0.912286946026607,0.912286946026607,13
ensembleKQC,0.684493673307302,0.872872783718781,0.636077748183112,0.684493673307302,8
miQC,0.35548392959306,0.420075671129749,0,0.35548392959306,1
SampleQC,0.505162294365799,0.568362860554301,0.718117825533965,0.568362860554301,5
scater,0.718379248839686,0.836687158447643,0.661843467672478,0.718379248839686,9
valiDrops,0.700895040450106,0.927653065997479,0.965789072790577,0.927653065997479,14
manual_fixed_mito,0.486006304559424,0.462995673154999,0.567095815762061,0.486006304559424,3
manual_adaptive_mito,0.454756599761227,0.769547214302145,0.73714399991307,0.73714399991307,10
manual_mito_ribo,0.51144186622175,0.64936076131066,0.931546643948324,0.64936076131066,6
manual_mito_ribo_library,0.468419658457893,0.750022435053895,0.681198539995651,0.681198539995651,7
manual_library,0.278672555938032,0.364216606660874,0.894143757336944,0.364216606660874,2
manual_malat1,0.817909996080326,0.716613357325364,0.747793690531451,0.747793690531451,11
manual_malat1_mito_ribo,0.531055535675644,0.508239412796092,0.932892495731872,0.531055535675644,4
